ID ERSAdeg ERSArel
00320033 PO PO 
00353022 UN NA 
00320035 UN NA 
00320034 UN NA 
00353027 UN NA 
00320036 UN NA 
00353029 UN NA 
00353028 UN NA 
01755183 UN NA 
29970678 UN NA 
29970672 UN NA 
29970677 UN NA 
01013009 UN NA 
01013008 UN NA 
01013003 UN NA 
01013002 UN NA 
01013001 UN NA 
01013000 UN NA 
01013007 UN NA 
01013006 UN NA 
01013005 UN NA 
30650992 UN NA 
30650993 UN NA 
30650995 UN NA 
30650997 UN NA 
29470642 UN NA 
30650999 UN NA 
29470646 UN NA 
01220750 UN NA 
29470644 UN NA 
00052972 UN NA 
30435058 UN NA 
29860376 UN NA 
11613066 UN NA 
01062947 UN NA 
40220871 UN NA 
01062943 UN NA 
01062941 UN NA 
30000318 UN NA 
01062948 UN NA 
01062949 UN NA 
29430508 UN NA 
10222958 UN NA 
10222959 UN NA 
10222952 UN NA 
29430500 UN NA 
10222950 UN NA 
10222951 UN NA 
10222957 UN NA 
10222954 UN NA 
29430506 UN NA 
00850965 UN NA 
00850964 UN NA 
10512288 UN NA 
00930133 UN NA 
00930132 UN NA 
00930135 UN NA 
00450123 UN NA 
00930137 UN NA 
00930136 UN NA 
20962185 UN NA 
03020785 UN NA 
00380048 UN NA 
00380049 UN NA 
20962181 UN NA 
20962180 UN NA 
20962183 UN NA 
20962182 UN NA 
00380042 UN NA 
00380043 UN NA 
29710487 PO PO 
00380041 UN NA 
00380046 UN NA 
00380047 UN NA 
00380044 UN NA 
00380045 UN NA 
29630622 UN NA 
29630620 UN NA 
01590797 UN NA 
29742975 UN NA 
29742977 UN NA 
29630625 UN NA 
29742979 UN NA 
03020781 UN NA 
30570438 UN NA 
31080898 UN NA 
30570432 UN NA 
30570433 UN NA 
30990528 UN NA 
00600622 UN NA 
29960622 UN NA 
29960620 UN NA 
29250794 UN NA 
22743081 UN NA 
29960625 3rd CO 
00110350 UN NA 
00052979 UN NA 
07700820 UN NA 
30304024 UN NA 
30304022 UN NA 
00921047 UN NA 
00723060 UN NA 
22235273 UN NA 
00723066 UN NA 
01462296 UN NA 
01462297 UN NA 
01462294 UN NA 
01462295 UN NA 
01462292 UN NA 
01462293 UN NA 
01462290 UN NA 
01462291 UN NA 
29693022 UN NA 
29693023 UN NA 
29693020 UN NA 
29693027 UN NA 
01462298 UN NA 
29693025 UN NA 
01660385 UN NA 
01660384 UN NA 
01660387 UN NA 
01660381 UN NA 
10230506 UN NA 
00942000 UN NA 
10230500 UN NA 
10230508 UN NA 
