         PAIR_ID  YOUNGER    OLDER  REL      PROB       HSR     N        AV        GP       MHS       PHS  AV_ERROR
  HMB2980_HMB357  HMB2980   HMB357   GP  0.794568  0.823835  45.0  0.205432  0.794568  0.000000  0.000000     False
  HMB3072_HMB360  HMB3072   HMB360   GP  0.775656  0.750238  44.0  0.224344  0.775656  0.000000  0.000000     False
  HMB3093_HMB361  HMB3093   HMB361   AV  0.994225  0.851821  58.0  0.994225  0.001896  0.000000  0.003878     False
   HMB373_HMB794   HMB794   HMB373   GP  0.903422  0.685422  35.0  0.094995  0.903422  0.000000  0.001582     False
   HMB376_HMB869   HMB869   HMB376   AV  1.000000  0.992587  48.0  1.000000  0.000000  0.000000  0.000000     False
  HMB1174_HMB379  HMB1174   HMB379   GP  0.654272  0.751689  46.0  0.344389  0.654272  0.000000  0.001339     False
  HMB2214_HMB373  HMB2214   HMB373   GP  0.860494  0.820390  30.0  0.000556  0.860494  0.000000  0.138950     False
  HMB2224_HMB379  HMB2224   HMB379   AV  0.693675  0.906674  53.0  0.693675  0.011447  0.000000  0.294878     False
  HMB373_HMB5058  HMB5058   HMB373   GP  0.954410  0.776840  40.0  0.045590  0.954410  0.000000  0.000000     False
  HMB373_HMB5085  HMB5085   HMB373   GP  0.676175  0.871561  40.0  0.009720  0.676175  0.000000  0.314105     False
   HMB384_HMB385   HMB384   HMB385   GP  0.944906  0.759814  39.0  0.048729  0.944906  0.000000  0.006365     False
